,Roofline,Rank-1,Rank-2,Rank-3,Rank-4,Rank-5,Rank-6,Rank-7,Rank-8,Rank-9,Rank-10,Rank-11,Rank-12,Rank-13,Rank-14,Rank-15,Rank-16,Rank-17,Rank-18,Rank-19,Rank-20,Rank-21,Rank-22,Rank-23,Rank-24,Rank-25,Rank-26,Rank-27,Rank-28,Rank-29,Rank-30,Rank-31,Rank-32,Rank-33,Rank-34,Rank-35,Rank-36,Rank-37,Rank-38,Rank-39,Rank-40,Rank-41,Rank-42,Rank-43,Rank-44,Rank-45,Rank-46,Rank-47,Rank-48,Rank-49,Rank-50,Rank-51,Rank-52,Rank-53,Rank-54,Rank-55,Rank-56,Rank-57,Rank-58,Rank-59,Rank-60,Rank-61,Rank-62,Rank-63,Rank-64,Rank-65,Rank-66,Rank-67,Rank-68,Rank-69,Rank-70
Op.MASS.2D.P1,2.5755306771209804e-05,3.543039858341217e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Op.MASS.2D.P2,7.396643863522207e-05,0.0001141759991645813,0.000132915198802948,0.00012267520427703858,0.00011622400283813476,0.00012544000148773194,0.00013015040159225464,0.00013578239679336548,0.00013557759523391726,0.0001183743953704834,0.00013434879779815673,0.00012615679502487183,0.0001291264057159424,0.00012267520427703858,0.0001509376049041748,0.00013076159954071047,0.00015564800500869752,0.00012974079847335814,0.00012031999826431275,0.0001365023970603943,0.00011755520105361939,0.0001276927947998047,0.00011376639604568481,0.00012768959999084472,0.00013424639701843262,0.00012738560438156128,0.0001328127980232239,0.00011786240339279175,0.0001316864013671875,0.0001247231960296631,0.0001545215964317322,0.0001299456000328064,0.00012001279592514039,0.00015011839866638184,0.00013056000471115112,0.00012216320037841796,0.00013025599718093873,0.0001257472038269043,0.00013547840118408204,0.00012083200216293336,0.00012359679937362671,0.00012789759635925294,0.00013537280559539793,0.00011550719738006592,0.00012728320360183714,0.00013076479434967042,0.00013015040159225464,0.00012922879457473755,0.00011980799436569215,0.00012881920337677003,0.0001265663981437683,0.00013721280097961426,0.00011663360595703125,0.0001275904059410095,0.0001316864013671875,0.0001304543972015381,0.00013250559568405153,0.00012328959703445435,0.00011274240016937257,0.00013230079412460328,0.00012667200565338136,0.0001171455979347229,0.0001281023979187012,0.00013578239679336548,0.00012072960138320924,0.00011878399848937989,0.00011253759860992432,0.00011683839559555053,0.0001324031949043274,0.00012380319833755492,0.00011868159770965576
Op.MASS.2D.P3,0.0001350238308361409,0.0003079168081283569,0.00023203840255737305,0.0002672607898712158,0.00023193600177764893,0.0003306495904922485,0.0002559999942779541,0.0002743295907974243,0.000311244809627533,0.0002928639888763428,0.00024043519496917728,0.00021831679344177246,0.0002905087947845459,0.0002564095973968506,0.0002662400007247925,0.00024094719886779786,0.00030658559799194335,0.00022446079254150392,0.00030443520545959474,0.0002535423994064331,0.0002801664113998413,0.000274943995475769,0.00027832319736480714,0.00030607359409332274,0.0002486272096633911,0.000258355188369751,0.0003010560035705566,0.00025722880363464356,0.0002519040107727051,0.0002530303955078125,0.00028129279613494875,0.00026245119571685795,0.00026296319961547856,0.0002401279926300049,0.00027013120651245113,0.00032972800731658934,0.00029716479778289795,0.00029778239727020264,0.00024145920276641848,0.00027381761074066164,0.00026193919181823733,0.0003051520109176636,0.00033044478893280027,0.0003249151945114136,0.0002535423994064331,0.00023500800132751466,0.0002381824016571045,0.0002777087926864624,0.00031027200222015386,0.0002660336017608643,0.000303003191947937,0.00023388159275054932,0.00023388159275054932,0.00025712640285491944,0.0002731008052825928,0.0002987008094787598,0.0002396159887313843,0.0003108864068984986,0.00021872639656066894,0.00029009919166564943,0.0002935839891433716,0.00032655360698699955,0.00024934399127960204,0.00027893760204315187,0.0002532351970672607,0.00027351040840148925,0.0002564095973968506,0.0003032063961029053,0.00022650880813598635,0.0002442239999771118,0.0002671616077423096
Op.MASS.2D.P4,0.00021856209833751917,0.00040079360008239744,0.0004250624179840088,0.00040161280632019044,0.0004909039974212647,0.0004487167835235596,0.00042536959648132325,0.0004434944152832031,0.0004571135997772217,0.0004880383968353271,0.0004798463821411133,0.0004694015979766846,0.00044892158508300783,0.0004241407871246338,0.0005123072147369386,0.0005319680213928223,0.0006532095909118653,0.000552345609664917,0.0005312511920928956,0.0003817471981048584,0.0004629504203796387,0.0004677103996276856,0.0005389311790466309,0.0006008831977844238,0.0007041024208068849,0.0003886080026626587,0.0007105535984039306,0.0005564415931701661,0.0005970943927764892,0.0005411839962005616,0.0004356095790863037,0.0005998591899871826,0.0005058559894561768,0.0005964767932891845,0.00040458240509033206,0.0004460544109344483,0.0005831183910369873,0.0008476160049438477,0.0005291007995605469,0.0004527103900909424,0.0003961855888366699,0.0004410367965698242,0.0005259263992309571,0.0005427215814590454,0.000589414405822754,0.00048752641677856447,0.0004244480133056641,0.0004026336193084717,0.0004037631988525391,0.0005073919773101807,0.0004619264125823975,0.0004448256015777588,0.0004739071846008301,0.0004930560111999512,0.0004285439968109131,0.0004695040225982666,0.0005009407997131348,0.0004552703857421875,0.000527512001991272,0.0003819519996643067,0.0006445055961608886,0.0005265408039093018,0.0005120527982711792,0.0005449728012084962,0.00042792959213256836,0.0004382719993591309,0.0005420032024383546,0.00039178240299224854,0.000562175989151001,0.0005955584049224853,0.0005007359981536865
Op.MASS.2D.P5,0.00032458140171761105,0.000642252779006958,0.0006572031974792481,0.0006754303932189941,0.000705024003982544,0.0007265279769897462,0.0007619584083557129,0.0008050687789916993,0.000719871997833252,0.000758784008026123,0.0007856128215789795,0.0007117824077606201,0.00067706880569458,0.0007472127914428711,0.000880025577545166,0.0009333760261535644,0.0007313407897949219,0.0007442431926727296,0.0007749119997024537,0.0006990848064422608,0.000828825569152832,0.0007072239875793457,0.0007822336196899414,0.0007740416049957275,0.0008358928203582764,0.0010308095932006836,0.0007906303882598877,0.0007472127914428711,0.0007214079856872559,0.000813366413116455,0.0007631872177124024,0.0008168479919433594,0.0009226240158081055,0.000797491216659546,0.0007384064197540283,0.0007288832187652588,0.0008936448097229005,0.0011414527893066407,0.0009113584041595459,0.0007663616180419923,0.0008867903709411622,0.0008408063888549805,0.0008737792015075684,0.0007836671829223633,0.0010677248001098635,0.0007650303840637207,0.0007888895988464355,0.0007904255867004395,0.001246617603302002,0.000870911979675293,0.0009254912376403809,0.000923801612854004,0.0011223551750183104,0.0008540160179138183,0.0008900608062744141,0.0011552767753601075,0.0009530367851257324,0.001037104034423828,0.0009056256294250489,0.0012300288200378419,0.0007608816146850585,0.0009326080322265625,0.0008730624198913574,0.0011408384323120118,0.0008704000473022461,0.0008823296070098877,0.0008855551719665528,0.0008806400299072266,0.0012810239791870117,0.0009118720054626465,0.0006124560117721558
Op.MASS.2D.P6,0.0005616720139130435,0.0010751999855041503,0.0013105151653289796,0.0010774527549743654,0.0010760191917419434,0.0009381888389587403,0.0010902527809143066,0.0011957263946533203,0.0010858495712280274,0.0009694208145141602,0.0013856767654418945,0.0012247040271759035,0.0011131392002105712,0.0010280960083007813,0.0011858943939208983,0.0012246511936187744,0.001188864040374756,0.001138432025909424,0.0016278528213500977,0.0016367616653442383,0.0013316096305847167,0.0013859840393066407,0.0020528127670288087,0.001600921630859375,0.0013111295700073242,0.0011695103645324707,0.001307033634185791,0.001359820795059204,0.0012807168006896972,0.0011469823837280274,0.0012959743976593018,0.0020561920166015627,0.0014458368301391601,0.0016732672691345215,0.0014541824340820314,0.0014402560234069823,0.001659596824645996,0.0014304256439208985,0.001188966417312622,0.0012387328147888184,0.0014690303802490235,0.001479475212097168,0.0012380160331726074,0.0013436927795410156,0.0015428607940673829,0.0014828543663024903,0.002248192024230957,0.0015193087577819824,0.0012137472152709962,0.0012300288200378419,0.001571020793914795,0.0013629440307617187,0.0018925567626953126,0.0018894847869873046,0.0012396016120910644,0.0012026368141174317,0.0011867136001586912,0.0015618047714233399,0.0011827199935913087,0.0012661760330200196,0.0017105888366699218,0.002092443180084228,0.0015987200260162353,0.0013359104156494142,0.001548902416229248,0.0015144960403442383,0.0022399999618530277,0.0012470272064208985,0.0016948223114013673,0.0020311552047729492,0.0012733440399169923
Op.MASS.2D.P7,0.000919099659130435,0.002044211196899414,0.0016320496559143066,0.0016294400215148925,0.0017349632263183594,0.0013333503723144532,0.0016471040725708009,0.0017305599212646486,0.0014228480339050294,0.0017984512329101564,0.0017180671691894532,0.0014870528221130371,0.0017512447357177735,0.0017793024063110351,0.0014166015625,0.0016296448707580568,0.0019990528106689455,0.001687552070617676,0.0015179776191711425,0.0019792896270751956,0.0017470976829528809,0.001760767936706543,0.0017948671340942384,0.0021343231201171875,0.0017586175918579102,0.001764454460144043,0.0023739391326904296,0.002036684799194336,0.002268057632446289,0.002471014404296875,0.001813708782196045,0.002194534397125244,0.0015040512084960938,0.0022776832580566407,0.0018108927726745605,0.00229171199798584,0.0017059839248657227,0.0017333760261535646,0.002451456069946289,0.0019383839607238769,0.002677248001098633,0.002205081558227539,0.0022038528442382813,0.0016210432052612305,0.002347724723815918,0.002187775993347168,0.0022703104019165038,0.00202475528717041,0.0018827264785766602,0.002068889617919922,0.0018599935531616212,0.001983283233642578,0.0020443136215209964,0.0020858880043029783,0.001927987289428711,0.0016136192321777342,0.0020941823959350586,0.00204902400970459,0.0015696383953094483,0.0016644096374511719,0.0016761856079101562,0.001599385643005371,0.0015927295684814453,0.001663590431213379,0.00176312313079834,0.0018297855377197266,0.001790667247772217,0.0017935823440551756,0.0019956735610961915,0.0017075199127197264,0.0021214208602905273
Op.MASS.2D.P8,0.0015044786086956523,0.0033211393356323243,0.0025417728424072267,0.002531942367553711,0.002605670356750488,0.0025423888206481935,0.0027738111495971677,0.0028462080001831055,0.0029758464813232424,0.0028774400711059573,0.002738688087463379,0.0025256447792053223,0.0024888320922851564,0.0028915712356567384,0.0029697023391723632,0.0036021759033203126,0.0026686464309692384,0.002694963264465332,0.003464089584350586,0.002920243263244629,0.0024850431442260744,0.0026200031280517577,0.003645439910888672,0.0032256000518798827,0.0026840063095092776,0.0025005056381225584,0.0033978351593017576,0.003644108772277832,0.004122009658813477,0.003207372856140137,0.0036271600723266602,0.003399833679199219,0.0033022945404052734,0.003361996841430664,0.0032128000259399416,0.0038542848587036133,0.00283811674118042,0.0029491200447082522,0.0028892160415649416,0.003215464019775391,0.0036286991119384767,0.004383843231201172,0.0032146944046020512,0.0029222911834716797,0.0031003648757934573,0.0028044800758361818,0.0029748752593994144,0.0033292289733886722,0.002897305679321289,0.002797619152069092,0.0037785598754882816,0.002888294410705567,0.0029746687889099124,0.0029148160934448246,0.0028025856018066408,0.0030297600746154786,0.00314091682434082,0.00336757755279541,0.002569625663757324,0.0026450943946838383,0.0026394623756408695,0.0025772031784057617,0.0027503616333007814,0.0028027392387390136,0.00270438404083252,0.0028719104766845704,0.002891468811035156,0.002510080051422119,0.002989209651947021,0.002528358459472656,0.002908160018920898
Op.LAPLACE.2D.P1,2.5755306771209807e-05,3.64544004201889e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Op.LAPLACE.2D.P2,7.396643863522206e-05,0.0001274880051612854,0.00014592000246047972,0.00011632640361785889,0.00012707840204238892,0.00012871680259704592,0.00014018559455871582,0.00012933119535446166,0.0001247231960296631,0.00012021759748458864,0.0001256448030471802,0.00012840960025787355,0.00013506560325622557,0.00012789759635925294,0.0001293280005455017,0.00013660160303115846,0.00014479360580444336,0.0001274880051612854,0.00011632640361785889,0.00013076479434967042,0.00013936640024185182,0.0001281023979187012,0.00012482559680938721,0.00013506560325622557,0.0001388543963432312,0.00012840960025787355,0.00012482559680938721,0.00013015040159225464,0.00012615679502487183,0.00012974079847335814,0.00013824000358581543,0.00012584960460662841,0.00013823039531707764,0.00013608959913253784,0.00012595200538635255,0.00012902400493621828,0.0001281023979187012,0.00013701119422912598,0.00012431360483169555,0.00014049600362777708,0.00013803520202636718,0.00012830719947814942,0.00013086719512939455,0.0001275904059410095,0.00013793280124664307,0.00012718080282211303,0.00011530239582061767,0.00012861440181732178,0.00012431360483169555,0.00012154879570007324,0.0001362944006919861,0.00012625919580459594,0.00011612160205841065,0.00012390400171279908,0.00012636159658432005,0.00012963839769363403,0.00012554240226745605,0.00012830719947814942,0.0001397760033607483,0.00012257280349731444,0.00012799999713897705,0.00012369920015335083,0.0001260543942451477,0.0001264639973640442,0.00013107199668884278,0.0001368064045906067,0.00013859999775886538,0.0001252351999282837,0.00013301759958267212,0.00013998080492019655,0.00014018559455871582
